,n_feature,total_params,baseline
0,1,80696,0.5444999933242798
1,2,81122,0.5742999911308289
2,3,81548,0.5877000093460083
3,4,81974,0.6290000081062317
4,5,82400,0.6316999793052673
5,6,82826,0.6463000178337097
6,7,83252,0.6434999704360962
7,8,83678,0.6563000082969666
8,9,84104,0.6629999876022339
9,10,84530,0.6772000193595886
10,11,400,84956,0.6678000092506409
11,12,400,85382,0.6553999781608582
12,13,400,85808,0.6675999760627747
13,14,400,86234,0.652400016784668
14,15,400,86660,0.6769000291824341
15,16,400,87086,0.6721000075340271
16,17,400,87512,0.6593999862670898
17,18,400,87938,0.6783000230789185
18,19,400,88364,0.679099977016449
19,20,400,88790,0.667900025844574
20,21,400,89216,0.6732000112533569
21,22,400,89642,0.6679999828338623
22,23,400,90068,0.6747000217437744
23,24,400,90494,0.6751999855041504
24,25,400,90920,0.6718000173568726
25,26,400,91346,0.6829000115394592
26,27,400,91772,0.6746000051498413
27,28,400,92198,0.6712999939918518
28,29,400,92624,0.676800012588501
29,30,400,93050,0.6819999814033508
