,depth,width,total_params,baseline
0,1,50,42310,0.9664000272750854
1,1,100,89610,0.9729999899864197
2,1,200,199210,0.9751999974250793
3,1,400,478410,0.9757000207901001
4,2,50,44860,0.9613999724388123
5,2,100,99710,0.9700999855995178
6,2,200,239410,0.9732999801635742
7,2,400,638810,0.9753000140190125
8,3,50,47410,0.9585000276565552
9,3,100,109810,0.9713000059127808
10,3,200,279610,0.9660999774932861
11,3,400,799210,0.9764000177383423
12,4,50,49960,0.11349999904632568
13,4,100,119910,0.9679999947547913
14,4,200,319810,0.9725000262260437
15,4,400,959610,0.9747999906539917
16,5,50,52510,0.9520000219345093
17,5,100,130010,0.9686999917030334
18,5,200,360010,0.9688000082969666
19,5,400,1120010,0.9697999954223633
